大分類,中分類,教材コード,リリース,コース名,時間,形式,内容,"キャリアアップ
措置の種別",レッスン数,テスト有,システムID
社会人スキル,ビジネスマナー,SKIL01-015,〇,（スライド）意識マナー・コミュニケーション表現技術スペシャリストへの道 〜ビジネスマナー講座編〜,0:41:00,スライド,正しいビジネスマナーは円滑なコミュニケーションの第一歩です。挨拶・お辞儀の仕方、行き先を示すマナー、名刺交換、案内誘導、正しいお茶の出し方、身だしなみのポイント、冠婚葬祭のマナーといった場面ごとのビジネスマナーを、NG例も踏まえてより実践的に学んで身に着けましょう。,入職時等基礎的訓練,1,-,3186
社会人スキル,ビジネスマナー,SKIL01-016,〇,気を付けたい5つの言葉　その言葉間違っていませんか？,0:04:47,動画,丁寧に話しているつもりで、実は間違った敬語を使っていませんか。名前を確認する、何かを指し示す、希望を確認する、何かを渡す・説明する、手続きやルールを説明するといった、ビジネスでよくある場面ごとに間違った敬語と正しい敬語を学び、正しい言葉遣いを身に着けましょう。,入職時等基礎的訓練,1,-,8067
社会人スキル,ビジネスマナー,SKIL01-017,〇,今さら聞けない！名刺交換～スマートな名刺交換で第一印象アップ！～,0:07:23,動画,名刺交換は社会人として必須のマナーですが、あなたは正しく名刺交換できていますか。正しくスマートな名刺交換は相手に好印象を与えます。これから社会人になる方も、今まで実は自己流で名刺交換していた方も、場面ごとの正しい名刺交換の方法を学び、ビジネスチャンスを掴みましょう。,入職時等基礎的訓練,1,-,9378
社会人スキル,ビジネスマナー,SKIL01-018,〇,ビジネスマナーと安全衛生,0:14:36,動画,本コースでは、社会人としての心構えや挨拶、言葉遣い、身だしなみ、報連相などビジネスマナーの基本的なことを解説するとともに、職場に潜むリスクやその対策、ヒヤリ・ハット、危険予知訓練、5S活動、事故や災害への備えと対応、ストレスマネジメントなど、安全衛生の基礎知識を解説します。,入職時等基礎的訓練,12,〇,10245
社会人スキル,ビジネスマナー,SKIL01-019,〇,仕事の進め方講座,0:26:23,動画,「仕事の進め方」はすべての仕事に通じるものです。仕事の依頼を受けるときや、仕事を始めるとき、終了報告など場面毎のポイントや、仕事を通して成長するためのポイントを解説します。仕事の始まりから完了までの基本的な流れと、仕事を進める上で覚えておきたいキーワードを理解しましょう。,入職時等基礎的訓練,7,-,10746
社会人スキル,ビジネスマナー,SKIL01-020,〇,職場の常識,0:28:38,動画,本コースでは、出勤時や勤務中、外出・休憩時、退勤時のポイントや、社外でのマナー、休暇の取り方、SNSの使い方など、社会人として役に立つ基本的なルールやマナーを解説します。社会人として身につけておくべき職場の常識を身につけて、業務を円滑に行えるようになりましょう。,入職時等基礎的訓練,1,-,10750
社会人スキル,ビジネスマナー,SKIL01-021,〇,社会常識,1:08:24,動画,業種に関わらず、社会人としての常識が身についていないと周りからの評価が下がる原因になります。本コースでは、「社会常識とは」ということから、挨拶や贈り物、宴会・接待などの日常場面や、結婚式・葬儀、食事のマナーなどの社会常識を解説します。社会常識を身につけ周囲と良好な関係を構築しましょう。,入職時等基礎的訓練,9,-,10749
社会人スキル,ビジネスマナー,SKIL01-022,〇,ビジネスマナー講座,0:55:41,動画,本コースでは、社会人に求められるビジネスマナーについて学びましょう。お辞儀、電話・来客対応、名刺交換、訪問などスキル的なことや、心構えから第一印象の重要性、身だしなみ、挨拶・言葉遣い、敬語・話の聞き方など常日頃から気を付けるべきポイントについて、網羅的に解説いたします。,入職時等基礎的訓練,10,-,10860
社会人スキル,ビジネスマナー,SKIL01-023,〇,新人・若手向けビジネスｅメールの書き方講座,0:24:46,動画,モーションコミックを通じてビジネスｅメールの基礎を学んでいきます。電話とｅメールの違いやeメールの全体構成、注意事項、守るべきマナー、間違いやすい敬語や敬称をきちんとおさえることで、ビジネススキルの基礎であり、新入社員の不安の種でもあるビジネスｅメールのスキル向上を目指します。,入職時等基礎的訓練,6,-,10861
社会人スキル,ビジネスマナー,SKIL01-024,〇,社会人の基本を押さえる【報・連・相】,0:08:44,動画,ビジネスマナーは日本で仕事を行うための共通言語です。自分らしさを出す前にまず基本をしっかり確認しましょう。本コースではビジネスにおける報告・連絡・相談のポイントを解説します。報告・連絡・相談は業務を円滑に進めるための基本です。報告・連絡・相談の基本を理解して業務に取り組みましょう。,入職時等基礎的訓練,1,-,11279
社会人スキル,ビジネスマナー,SKIL01-025,〇,タイムマネジメント講座,0:21:40,動画,タイムマネジメントは仕事を進める上で、時間を有効に使える効果的なマネジメント方法です。本講座では、タイムマネジメントの原則や「QCDR」といった基本な考え方を解説します。モーションコミックを用いて具体的なシーンを再現しながら、実用的なタイムマネジメントを学ぶことができます。,階層別訓練,5,-,11834
社会人スキル,ビジネスマナー,SKIL01-026,〇,仕事の進め方とPDCA講座,1:15:34,動画,本講座では、講師が様々な業界・業種に共通する仕事の進め方のポイントを解説します。大きく4つの考え方「相手目線」「他者視点」「QCDR」「PDCA」について、それぞれの活用方法をケースを通して学んでいきます。,階層別訓練,6,-,11833
社会人スキル,Microsoft Office,SKIL02-002,〇,【日本一の研修】Office2013実務でよく使う基本機能と新機能　Excel・Word・PowerPoint,0:57:45,動画,office2003から移行する方を対象に、office2013の実務でよく使う新機能を解説します。アプリケーション共通のリボンインターフェースや、Excelのグラフ作成と編集・新しい関数、Wordの表と罫線・差し込み文書、PowerPointのSmartArt等を学びましょう。,職能別訓練,17,-,2326
社会人スキル,Microsoft Office,SKIL02-003,〇,【日本一の研修】Excel 2010 エクセル関数を使わない大量データ集計,0:42:17,動画,Excelのピボットテーブルは働く上でよく求められるスキルです。ピボットテーブルを使うことによって、関数が苦手な方も複雑な集計を関数無しで簡単にできるようになります。関数が得意な方にもこのコースを受けていただければ、適切な集計を行うことができるようになります。,職能別訓練,6,-,2314
社会人スキル,Microsoft Office,SKIL02-004,〇,【日本一の研修】Excel 2010 Excel を間違って覚えないための最初の一歩,1:57:03,動画,「Excelで報告書作成」を題材に、書籍・独学では学びにくい＜表の作成手順＞＜データ入力のしかた＞＜計算式の設定方法＞＜グラフの選び方＞など、業務効率を飛躍させるためのExcelの基礎を徹底的に身に付けます。マクロ等の応用的なスキルを理解する上でも基礎を身に着けることは必須です。,職能別訓練,16,-,2315
社会人スキル,Microsoft Office,SKIL02-005,〇,【日本一の研修】Excel 2010 エクセル実践使える関数とショートカット,1:26:59,動画,本コースは、Excelで計算や集計などを行う業務処理の効率を図りたい方を対象にしています。Excelで用意されている数多くの関数のうち、業務で使えるシーンが多い関数の使い方をマスターします。また、効率的に作業をする手段の一つとしてショートカットキーも紹介しています。,職能別訓練,12,-,2316
社会人スキル,Microsoft Office,SKIL02-006,〇,【日本一の研修】Excel 2010 エクセル自動化・マクロはじめの一歩,1:28:38,動画,Excelで行う業務処理をより一層効率化するための手段として、マクロの自動記録を学習します。「マクロとは何か」から始め、データ整形やコピー・貼り付け･テキストファイルの処理など定型業務処理を自動化する方法や、自動記録したマクロを編集して、より使いやすいマクロにする手法を学びます。,職能別訓練,10,-,2317
社会人スキル,Microsoft Office,SKIL02-009,〇,【日本一の研修】Word2010 ビジネス文書のための効率的ワード活用テクニック,0:52:45,動画,Wordの基本的な使い方を習得します。効率的な書式の設定方法、表と罫線を利用する方法、ヘッダーやフッターを設定する方法、既存のExcelデータを利用した文書を作成する方法などを学習します。社内文書や社外文書を題材にしているため、実践的にWordの知識を身に着けることができます。,職能別訓練,11,-,2321
社会人スキル,Microsoft Office,SKIL02-011,〇,【日本一の研修】PowerPoint2010 効率的なパワーポイントスライド作成テクニック,1:17:13,動画,PowerPointの基本的な使い方を習得します。効率的なスライドのデザイン設定方法、テキストや画像の効果的な表現方法、表やグラフの作成や編集をするための機能、手早く図表を作成する方法、既存のWordやExcelのファイルをスライドで活用する方法などを学習します。,職能別訓練,17,-,2323
社会人スキル,Microsoft Office,SKIL02-013,〇,【日本一の研修】 Access2010 Accessシステム作成「Access初級」,3:11:14,動画,本コースでは、Accessで「受注管理システム」を構築し、日々蓄積されていくデータを保存・活用・管理する方法を習得します。新規データベースの作成、Excelデータのインポート、クエリの作成、フィールドの操作と移動など、Accessの基本操作を身に着けましょう。,職能別訓練,21,-,2320
社会人スキル,Microsoft Office,SKIL02-014,〇,【日本一の研修】Excel 2016　エクセルを間違って覚えないための最初の一歩,1:10:13,動画,Excel2016の基本操作であるシートの操作や文字列・日付の入力、表の書式設定、フィルター等を学びます。また、関数を使う上で理解しておくべき絶対参照・相対参照、よく使う関数であるIF関数とAVERAGE関数を学びます。本コースでExcelの正しい基本操作をマスターしましょう。,職能別訓練,23,-,7454
社会人スキル,Microsoft Office,SKIL02-015,〇,【日本一の研修】Excel 2016 エクセル実践 使える関数とショートカット,1:49:06,動画,Excel2016で計算や集計などを行う業務処理の効率を図りたい方を対象にしています。Excel2016で用意されている数多くの関数のうち、業務で使えるシーンが多い関数の使い方をマスターします。また、効率的に作業をする手段の一つとしてショートカットキーも紹介しています。,職能別訓練,10,-,7488
社会人スキル,Microsoft Office,SKIL02-016,〇,【日本一の研修】Excel 2016 エクセル 関数を使わない大量データ集計,0:27:01,動画,Excelのピボットテーブルは働く上でよく求められるスキルです。ピボットテーブルを使うことによって、関数が苦手な方も複雑な集計を関数無しで簡単にできるようになります。関数が得意な方にもこのコースを受けていただければ、適切な集計を行うことができるようになります。,職能別訓練,9,-,7490
社会人スキル,Microsoft Office,SKIL02-017,〇,【日本一の研修】Excel 2016 エクセルマクロ入門,0:52:38,動画,Excelで行う業務処理をより一層効率化するための手段として、マクロの自動記録を学習します。「マクロとは何か」から始め、データ整形やコピー・貼り付け･テキストファイルの処理など定型業務処理を自動化する方法や、自動記録したマクロを編集して、より使いやすいマクロにする手法を学びます。,職能別訓練,13,-,7491
社会人スキル,Microsoft Office,SKIL02-018,〇,【日本一の研修】Word 2016　ビジネス文書を作成するための効率的Word活用テクニック,0:57:13,動画,Wordの基本的な使い方を習得します。効率的な書式の設定方法、表と罫線を利用する方法、ヘッダーやフッターを設定する方法、Excelデータを利用した差し込み文書を作成する方法などを学習します。社内文書や社外文書を題材にしているため、実践的にWordの知識を身に着けることができます。,職能別訓練,23,-,8134
社会人スキル,Microsoft Office,SKIL02-019,〇,【日本一の研修】PowerPoint 2016 効率的なPowerPointスライド作成テクニック,1:02:43,動画,PowerPoint2016の基本的な使い方を習得します。効率的なスライドデザインの設定方法、テキストや画像の効果的な表現方法、表やグラフの作成や編集をするための機能、手早く図表を作成する方法、既存のWordやExcelのファイルをスライドで活用する方法などを学習します。,職能別訓練,22,-,8179
社会人スキル,Microsoft Office,SKIL02-020,〇,【日本一の研修】Access 2016  Access初級　Accessシステム作成,1:52:38,動画,本コースでは、Accessで「受注管理システム」を構築し、日々蓄積されていくデータを保存・活用・管理する方法を習得します。新規データベースの作成、Excelデータのインポート、クエリの作成、フィールドの操作と移動など、Accessの基本操作を身に着けましょう。,職能別訓練,43,-,8137
社会人スキル,Microsoft Office,SKIL02-021,〇,【日本一の研修】ビジネスExcel 7つの原則 ,0:22:28,動画,Excelのデータは時に「作成者以外操作（編集）できない」ことがあります。本コースでは誰が見てもわかる・操作できるデータにするための7つの原則（マスタDB・ピボットテーブル・マクロ・Excelの禁則やマナー・構造のシンプル化・可読性・行列参照・構造のシンプル化）を学びます。,職能別訓練,10,-,8292
社会人スキル,Microsoft Office,SKIL02-022,〇,【日本一の研修】営業担当者のためのPowerPointによる提案書作成術,0:33:35,動画,本コースでは提案内容決定プロセス、提案書の構成、スライドの構成要素、伝わる文章・グラフ・図解・表の作り方を学びます。PowerPointを使って資料を効果的かつ効率的に作成できるようになります。PowerPointを使う全ての方に身に着けていただきたいスキルです。,職能別訓練,8,-,8306
社会人スキル,Microsoft Office,SKIL02-023,〇,【日本一の研修】RPAとビジネスExcel　Excel資産を有効活用するために,0:13:35,動画,RPA（ロボティック・プロセス・オートメーション）は業務フローを自動化するものとして注目されています。ExcelをRPAで連携する際の問題点を理解し、問題点を解決する高精度・高可読・短時間・高互換なデータを作成する方法を学びます。RPAでExcel資産を有効活用しましょう。,職能別訓練,10,-,8307
社会人スキル,Microsoft Office,SKIL02-024,〇,【日本一の研修】Excel2016 Excel超入門,0:21:38,動画,Excelを初めて学ぶ方を対象に、Excelでできること、起動方法と構成要素、ブックの保存方法、文字・日付・数値の入力、合計・平均の算出、データ配置の変更、罫線の設定、グラフの作成について学びましょう。Excelの基本操作を習得して、グラフを作成できるようになりましょう。,職能別訓練,14,-,9673
社会人スキル,Microsoft Office,SKIL02-025,〇,【日本一の研修】Word2016 Word超入門,0:24:32,動画,ワープロソフトであるWordの基本を一から学べるコースです。Wordに触れたことがない方を対象に、Wordの起動方法や編集記号の表示、文書の編集など、初歩の初歩から解説します。このコースを受講すると、Wordの基本操作をマスターして、A4用紙1枚のビジネス文書を効率的に作成できるようになります。,職能別訓練,12,-,10060
社会人スキル,Microsoft Office,SKIL02-026,〇,【日本一の研修】Excel 2016データ集計テクニック超入門,0:16:38,動画,今までExcelでデータの集計作業を行ったことがないという方に向けて、データ集計について基礎からお伝えします。このコースを受講することで、Excelのデータ活用のための並べ替え、フィルター、ピボットテーブルといった基本的なテクニックを身につけて、Excelによる集計処理を素早く、正確にできるようになります。,職能別訓練,4,-,10061
社会人スキル,Microsoft Office,SKIL02-027,〇,【日本一の研修】Excel 2016 Excel グラフ作成テクニック超入門,0:26:36,動画,グラフ作成機能に特化したExcel入門講座です。グラフ作成の原則から、グラフ編集用のタブの確認、グラフのサイズと位置の変更、グラフのタイトルとグラフスタイルの変更、行列の切り替え、グラフタイトルの削除と目盛り線の設定、グラフの種類の変更等を解説します。グラフ作成をマスターしましょう。,職能別訓練,10,-,10848
社会人スキル,Microsoft Office,SKIL02-028,〇,【日本一の研修】Power BI 活用講座,1:01:29,動画,データの視覚化を実現するためのPowerBI活用講座です。PowerBIの構成から気道とファイル保存、データの取り込み、スライサー、ドーナツグラフ、折れ線グラフ、積み上げ縦棒グラフ、マップ、テーブル、データの更新などの方法を解説します。PowerBIを活用したデータ処理やレポートの作成をマスターしましょう。,職能別訓練,13,-,10849
社会人スキル,Microsoft Office,SKIL02-029,〇,【日本一の研修】Excel2016 Excelマクロ超入門,0:28:09,動画,Excelのマクロ機能を使いこなせるようになると、業務をより効率的に進めることができるようになります。本コースでは、マクロの作成やマクロのボタンへの登録、記録と実行の方法、操作と記録などを解説します。自動記録でマクロを作成し、Excelの処理を自動化できるようになりましょう。,職能別訓練,10,-,11186
社会人スキル,Microsoft Office,SKIL02-030,〇,【日本一の研修】Excel2016 Excelデータ分析テクニック,1:15:47,動画,本コースでは、ヒストグラム、パレート図、グラフ種類の変更、散布図、相関係数、回帰分析、移動平均、指数平滑法、シナリオ、ゴールシークなど、Excelを使ってデータ分析をする際のテクニックを解説します。Excelでのデータ分析や統計分析に関わる機能や関数を使えるようになりましょう。,職能別訓練,22,-,11182
社会人スキル,Microsoft Office,SKIL02-031,〇,【日本一の研修】Excel 2016 Excel 関数超入門 ,0:27:24,動画,Excelの基礎的な関数の使い方を学ぶコースです。集計に使用する関数（SUM、AVERAGE、COUNT、MAX、MIN)、端数処理を行う関数（ROUND、ROUNDUP、ROUNDDOWN）、そしてIF関数を身に付けていただきます。本コースは、Excel実践使える関数とショートカットの前に受講いただきたい入門コースです。,職能別訓練,6,-,11875
社会人スキル,Microsoft Office,SKIL02-032,〇,【日本一の研修】PowerPoint 2016 PowerPoint超入門,0:19:29,動画,PowerPointを使って企画書や提案書を作成したい方向けの入門コースです。企画書や提案書を作成する際に必要となる箇条書き等の文字入力、図や写真の配置・加工、グラフの作成方法と効率的に操作するためのショートカットを身に付けていただきます。本コースは、PowerPoint初級の前に受講いただきたいコースです。,職能別訓練,7,-,11874
社会人スキル,Microsoft Office,SKIL02-033,〇,【日本一の研修】Access 2016  Access超入門,0:33:21,動画,Accessがどういったものかわからない、Accessにチャレンジしたが挫折した方々向けのコースです。Accessシステムを構築する場合に、最も実務に多いExcelデータの移行を事例にして、データベースの構築、入出力フォームの作成、データの抽出を学んでいただきます。本コースはAccess初級の前に受講いただきたい入門コースです。,職能別訓練,10,-,11873
社会人スキル,Microsoft Office,SKIL02-034,〇,【日本一の研修】 Office 2016 - 実務でよく使う機能と新機能,1:18:08,動画,Office 2016でよく使う機能と、新しく採用された機能を解説するコースです。Word、Excel、PowerPointで共通する機能から、各アプリケーションの便利な機能の操作方法を学びます。Office 2016を使用したことがない方、各ソフトウェアの基礎を学びたい方、これから仕事でOffice 2016を使用する方にお勧めのコースです。,職能別訓練,17,-,12554
社会人スキル,Microsoft Office,SKIL02-035,〇,【日本一の研修】 Office 2019 - 実務でよく使う機能と新機能,1:19:44,動画,Office 2019でよく使う機能と、新しく採用された機能を解説するコースです。Word、Excel、PowerPointで共通する機能から、各アプリケーションの便利な機能の操作方法を学びます。Office 2019を使用したことがない方、各ソフトウェアの基礎を学びたい方、これから仕事でOffice 2019を使用する方にお勧めのコースです。,職能別訓練,17,-,12555
社会人スキル,Microsoft Office,SKIL02-036,〇,【日本一の研修】 Office 365- 実務でよく使う機能と新機能,1:27:25,動画,Office 365でよく使う機能と、新しく採用された機能を解説するコースです。Word、Excel、PowerPointで共通する機能から、各アプリケーションの便利な機能の操作方法を学びます。Office 365を使用したことがない方、各ソフトウェアの基礎を学びたい方、これから仕事でOffice 365を使用する方にお勧めのコースです。,職能別訓練,17,-,12556
社会人スキル,Microsoft Office,SKIL02-037,〇,【日本一の研修】Excel 2016 Excel データベース作成,0:36:32,動画,Excelでのデータベース作成について、基礎から学べるコースです。データ入力の制御、日付関数の利用からCSVデータの取り込みまで、具体的な操作方法を学びます。Excelのデータベース機能を使用したことがない方、Excelでのデータベース作成の基礎を学びたい方、これから仕事でExcel関数を使用する方にお勧めのコースです。,職能別訓練,7,-,12557
社会人スキル,PC・タブレットスキル,SKIL03-001,〇,徹底活用！gmail仕事術,0:30:59,動画,Googleが提供している無料メールサービスGmailは単なるメールだけのサービスではありません。使い方を知れば、検索性が高く容量も充分な自分専用のデータベースとなりえます。本講座ではGmailの様々な魅力を余すところなくお伝えします。Gmailを使いこなせるようになりましょう。,職能別訓練,3,-,2892
社会人スキル,PC・タブレットスキル,SKIL03-018,〇,Facebook 3000 いいね！ 必達プロジェクト,1:40:11,動画,"本講座では、たった3ヶ月で自身の運営するFacebookページで、3,000いいね！の獲得に成功した井上先生が「いいね！」を集めるノウハウと、その波及効果について詳しく解説し、45万人にリーチすることを目指します。Facebookを活用して最大限の効果を上げましょう。",職能別訓練,9,-,2887
社会人スキル,PC・タブレットスキル,SKIL03-019,〇,見えない顧客を「見える化」するアクセス解析入門,0:45:17,動画,ホームページにアクセスしているユーザーの動向は、ツールの発達によりかなり細かいところまでわかります。本講座では代表的なGoogleAnalyticsの解析データの読み方から利用の仕方を学び、ユーザーの見える化やWebマーケティングを検討するうえでの考え方を伝授いたします。,職能別訓練,4,-,2888
社会人スキル,PC・タブレットスキル,SKIL03-020,〇,どんな商売にも効く検索エンジン広告,0:20:39,動画,インターネット広告市場は2014年に1兆円の市場規模に達し、今後の伸びも大きく期待されています。中でも検索エンジン広告は、広告としての効果が高く、費 用対効果も明確であるなどの注目株です。本講座では、検索エンジン広告の基本について、初心者に分かりやすく解説いたします。,職能別訓練,2,-,2889
社会人スキル,PC・タブレットスキル,SKIL03-021,〇,デザイン・プログラム知識ゼロでも出来るHP制作,0:14:50,動画,ホームページは、コストをかけなくても無料ツールで誰でも制作できるようになりました。しかし、制作できるだけでは駄目で、きちんとホームページ開設の目的を達成する必要があり、そのための工夫は欠かせません。本コースでは、ホームページ制作における基本的な考え方を整理してお伝えします。,職能別訓練,2,-,2890
社会人スキル,PC・タブレットスキル,SKIL03-022,〇,ざっくりわかるインターネットの基礎,0:12:05,動画,「インターネットってなに？」この質問にあなたは的確に答えられるでしょうか？本コースでは、インターネットの基本中の基本である「web」「インターネット」「コンピュータ」とは何かということを平易な言葉でわかりやすく解説します。インターネットの基本中の基本から理解しましょう。,職能別訓練,1,-,2891
社会人スキル,PC・タブレットスキル,SKIL03-027,〇,Photoshop初級講座,0:48:19,動画,ネットが普及し、何かを調べる際にはまず初めにHPやSNSをチェックする時代。多くの人に見てもらうには、魅力的な写真やWEBバナーが必要です。それらの出来によって、集客や企業の好感度は大きく変わります。かといって、デザイナーに毎回頼むのは高額。自分で自由に、素敵なグラフィックを作れるようになりましょう。,職能別訓練,20,〇,10007
社会人スキル,PC・タブレットスキル,SKIL03-028,〇,Illustratorデザイン基礎,1:15:28,動画,デザインの歴史やレイアウト、IllustratorとPhotoshopの違い、レイヤー、パスやオブジェクト、オブジェクトの性質、黒矢印・白矢印の役割、カラーモードなど、Illustratorを使うにあたって、理解しておきたい知識や、躓きやすいポイントを学びます。まずはデザインの成り立ちやIllustrator・Photoshopの基礎知識を理解しましょう。,職能別訓練,6,-,11267
社会人スキル,PC・タブレットスキル,SKIL03-029,〇,Illustrator初級①,2:24:20,動画,名刺の作成を通して、図形ツールの使い方、パスファインダー、文字入力、テキストのアウトライン化、トリムマークの作成、レイヤーの整理、素材の埋め込みと配置の違い、データの共有方法などのIllustratorの使い方の基本を学びます。Illustratorの基本の動作を理解して、ロゴや名刺を作れるようになりましょう。,職能別訓練,5,-,11276
社会人スキル,PC・タブレットスキル,SKIL03-030,〇,Illustrator初級②,2:23:45,動画,Illustratorは使えるようになると便利なツールです。フライヤー製作に必要な基礎知識や写真の切り抜きとマスク、写真の明るさ調整と合成、ペンツールを使った切り抜き、様々なデータ保存方法、フォーマットの作り方、入稿データの作り方を解説します。フライヤー製作を通して、Illustratorの基本の動作を理解しましょう。,職能別訓練,8,-,11277
社会人スキル,PC・タブレットスキル,SKIL03-031,〇,資料づくりの基礎知識講座,0:29:58,動画,資料づくりを頼まれた時、すぐに資料を作り始めていませんか。有用性の高い資料を効率よく作るために、抑えておきたいポイントがぎっしり詰まった講座です。資料作成の準備や整え方を学び、ビジネスシーンで有用性の高い資料の作り方を習得することによって、業務進行の効率化や業務成果の向上を目指しましょう。,階層別訓練,6,-,12332
キャリアアップ,キャリアアップ,CARR01-001,〇,女性のためのキャリアアップ（初級）,1:00:00,HTML,キャリアの概要、女性の働き方の変遷、女性のキャリアパターン、キャリア継続、キャリアデザインについて社会情勢を踏まえながらポイントを学びます。女性特有の問題に対し、どのようにキャリアをデザインしていくかポイントを理解して、自分に合ったキャリアをデザインしていきましょう。,階層別訓練,1,〇,6146
キャリアアップ,キャリアアップ,CARR01-002,〇,女性のためのキャリアアップ（中級）,1:00:00,HTML,女性のキャリアアップには様々なルートがあります。社内におけるキャリアアップを目指す場合に、仕事を任されるきっかけ作りや提案を通す方法、会議での振舞い方、取引先の訪問など、場面毎のポイントを学びます。キャリアアップするためのポイントを理解し、自身の望むキャリアを目指しましょう。,階層別訓練,1,〇,6147
キャリアアップ,キャリアアップ,CARR01-015,〇,ココ・シャネルに学ぶ　女性のためのビジョンメイキング,0:11:01,動画,いくつになっても夢を持ち続ける人は有意義な人生が送れます。本コースではビジョン・ミッション・価値観を理解し、自身のビジョンを明確にするための考え方を学びます。夢を実現するために必要なビジョン・ミッション・価値観を確認し、あなたが3年後・5年後に「ありたい姿」を考えてみましょう。,階層別訓練,1,-,7988
